,Team,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,3PA,3P%,FGM,FGA,FTM,FTA,2DBL,3DBL,PF,code,OFF_EFF,DEF_EFF,AVG_EFF_STATE
1,LAC,49,11760,5630,2170,1186,354,210,705,48.3,83.9,631,1692,41.7,2059,4263,807,962,30,0,936,CA,111.1,105.3,107.6
2,BKN,47,11405,5598,2077,1244,312,243,671,49.5,79.6,652,1713,39.2,2033,4111,861,1081,50,12,890,NY,106,107.1,106.9
3,MIL,46,11065,5474,2218,1181,368,219,677,48.5,74.8,644,1726,39.2,2038,4206,721,964,51,7,794,WI,110.5,100.6,105.6
4,DEN,47,11430,5430,2077,1267,385,206,628,48.8,78.5,628,1624,38.7,2052,4204,698,889,55,12,891,CO,110.1,108.6,109.4
5,SAC,47,11305,5412,1997,1211,309,230,566,48.5,73.4,628,1549,36.5,2027,4177,792,1079,48,0,922,CA,107.8,109.6,
6,UTA,46,11065,5380,2222,1095,299,255,783,46.8,78.6,655,1967,39.8,1899,4060,799,1017,41,0,858,UT,110,107.4,108.7
7,PHI,47,11405,5374,2163,1093,419,294,510,47.9,77.5,725,1381,36.9,1963,4096,938,1211,55,4,963,PA,109.7,108.4,109.1
8,NOP,46,11090,5306,2130,1208,328,190,518,48.7,73.3,648,1444,35.9,1971,4046,846,1154,39,1,812,LA,108,109.4,108.7
9,GSW,47,11305,5295,2002,1295,376,230,649,46.3,77.5,692,1753,37,1927,4160,792,1022,23,3,1017,CA,102.9,110.9,
10,ATL,47,11330,5284,2132,1140,324,226,591,46,81.9,644,1624,36.4,1876,4080,941,1149,67,1,929,GA,104.3,112.3,108.3
11,POR,46,11065,5279,2003,930,320,240,744,44.6,83.4,524,1958,38,1861,4169,813,975,48,0,888,OR,111.1,111.8,111.5
12,BOS,47,11330,5278,2069,1077,372,246,609,46.9,76.1,654,1617,37.7,1956,4172,757,995,25,0,970,MA,110.4,104.5,107.5
13,TOR,47,11280,5270,1928,1163,380,256,720,44.7,82.6,633,1922,37.5,1851,4145,848,1027,32,3,1041,Canada,109,102,105.5
14,WAS,46,11065,5269,2029,1146,336,172,494,46.6,76.4,672,1429,34.6,1922,4123,931,1218,44,17,1024,VA,108.2,112.7,110.5
15,PHO,46,11165,5221,2011,1242,310,190,594,48.6,83.4,607,1588,37.4,1962,4038,703,843,40,1,894,AZ,109.7,108.4,109.1
16,LAL,47,11405,5203,2126,1155,351,261,501,47.9,74.5,714,1434,34.9,1935,4038,832,1117,50,5,891,CA,109.6,103.8,
17,CHA,46,11090,5136,2032,1235,367,216,645,46.2,77.5,718,1678,38.4,1862,4032,767,990,33,1,848,NC,103.9,110.6,107.3
18,MIN,47,11355,5132,2029,1180,411,265,593,44,76.2,677,1715,34.6,1894,4304,751,986,31,0,1002,MN,105.3,110,107.7
19,IND,45,10925,5098,1877,1210,387,276,565,47.1,78.5,618,1549,36.5,1902,4040,729,929,48,7,904,IN,107.9,105.1,106.5
20,CHI,45,10900,5067,2020,1185,304,198,566,47.9,80.3,722,1526,37.1,1915,4001,671,836,24,0,890,IL,104.1,107.7,105.9
21,DAL,45,10825,5047,1944,1023,278,203,611,47.1,78.1,547,1701,35.9,1839,3904,758,970,34,9,891,TX,113.7,109.5,110.2
22,MIA,47,11380,4998,2014,1213,344,191,592,45.8,79.4,697,1717,34.5,1808,3949,790,995,44,5,893,FL,110,107.2,107.6
23,HOU,46,11065,4935,1949,1040,360,253,614,43.6,74.6,661,1859,33,1779,4080,763,1023,34,1,921,TX,110.3,107.4,
T24,NYK,47,11305,4930,2160,980,329,226,506,45.1,76.4,638,1361,37.2,1826,4052,772,1011,42,3,978,NY,103.8,110.6,
T24,DET,46,11190,4930,1964,1112,361,235,563,44.4,77.1,677,1598,35.2,1757,3959,853,1107,28,3,943,MI,106.1,110.4,108.3
26,MEM,44,10610,4916,2026,1174,428,192,463,46.2,78.3,600,1331,34.8,1873,4051,707,903,47,1,815,TN,106.9,107.5,107.2
27,ORL,47,11305,4901,2182,1066,314,196,558,43.1,78.2,615,1564,35.7,1812,4209,719,919,39,2,786,FL,106.1,107.1,
28,OKC,46,11115,4881,2057,1044,325,208,589,44.8,73.6,688,1692,34.8,1797,4007,698,949,25,0,817,OK,108.4,106.3,107.4
29,CLE,47,11405,4837,2024,1085,390,239,436,44.8,72.5,732,1299,33.6,1824,4070,753,1039,44,0,884,OH,104.4,113.6,109
30,SAS,44,10610,4820,1929,1074,307,229,466,46,78.5,500,1291,36.1,1820,3960,714,909,32,2,764,TX,107.8,109.6,
